Customer_Id,Port_Id
1,3
1,14
1,39
1,9
2,18
2,29
2,24
2,23
2,37
2,36
2,26
3,22
3,15
3,31
4,1
4,32
4,41
5,8
5,4
5,24
5,16
5,37
5,38
5,36
5,13
5,29
5,23
5,26
6,28
6,1
6,11
6,33
6,5
6,32
6,41
6,25
7,44
7,45
8,43
8,41
8,5
9,23
9,18
9,37
9,36
9,38
10,43
11,29
11,23
11,24
11,26
11,36
11,13
11,16
11,38
11,18
12,25
12,5
12,11
12,33
12,32
13,47
13,46
14,26
14,29
15,28
15,5
15,25
15,11
15,32
15,33
15,41
16,12
16,14
16,39
17,37
18,11
18,1
18,41
18,32
18,25
18,5
19,27
20,34
20,3
20,2
21,24
21,38
21,23
21,37
21,26
21,8
22,32
23,22
23,15
24,10
25,12
25,39
25,14
25,21
26,18
26,26
27,31
28,10
28,27
29,42
30,36
30,29
30,13
30,37
31,31
32,10
32,27
33,40
34,13
34,26
34,4
34,8
34,38
34,36
34,16
35,10
36,29
36,16
36,18
36,23
36,37
36,13
36,4
36,36
37,27
38,16
38,36
38,23
38,13
38,18
38,4
38,8
38,29
38,24
39,10
40,8
40,37
40,38
40,23
40,16
40,36
41,27
41,10
42,8
42,36
42,13
42,23
42,38
42,16
42,24
42,37
42,18
43,19
43,6
44,8
44,26
44,23
44,18
44,37
44,29
44,16
44,4
44,13
45,6
45,19
46,16
46,4
46,37
46,8
47,6
48,17
48,7
49,6
50,20
51,6
51,19
52,19
52,6
